# Weather station Moscow, Russia, WMO_ID=27612,selection from 05.01.2018 till 05.01.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=27612&lang=en
#
"Local time in Moscow";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.12.2018 03:00";"-6.5";"761.6";"777.1";"-0.5";"88";"Wind blowing from the south-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.2";"";"";"";"";"";"";
"20.12.2018 00:00";"-6.4";"762.1";"777.4";"-0.3";"86";"Wind blowing from the south-east";"1";"";"";"100%.";"Snow shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"100%.";"600-1000";"";"";"";"-8.4";"";"";"";"";"";"";
"19.12.2018 21:00";"-6.8";"762.4";"777.7";"-0.6";"91";"Wind blowing from the east";"1";"";"";"100%.";"Snow shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-6.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"100%.";"600-1000";"";"";"";"-8.0";"1.0";"12";"";"";"";"";
"19.12.2018 18:00";"-6.9";"763.0";"778.6";"0.1";"87";"Wind blowing from the east-southeast";"1";"";"";"100%.";"Snow shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"100%.";"600-1000";"";"";"";"-8.7";"1.0";"12";"";"";"";"";
"19.12.2018 15:00";"-6.3";"762.9";"778.4";"-0.4";"83";"Wind blowing from the south-southeast";"1";"";"";"100%.";"Snow shower(s), slight. ";"Shower(s).";"Snow and/or other types of solid precipitation";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"100%.";"600-1000";"";"";"4.0";"-8.7";"";"";"";"";"";"";
"19.12.2018 12:00";"-7.0";"763.3";"778.9";"0.0";"86";"Wind blowing from the east-southeast";"1";"";"";"90  or more, but not 100%";"Snow shower(s), slight. ";"Shower(s).";"Snow and/or other types of solid precipitation";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-8.9";"";"";"";"";"";"";
"19.12.2018 09:00";"-8.6";"763.3";"779.0";"0.0";"90";"Calm, no wind";"0";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-10.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"4.0";"-9.9";"0.7";"12";"";"";"Even layer of loose dry snow covering ground completely.";"19.0";
"19.12.2018 06:00";"-9.5";"763.3";"779.0";"-0.3";"90";"Calm, no wind";"0";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-10.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"";"-10.9";"0.4";"12";"";"";"";"";
"19.12.2018 03:00";"-9.5";"763.6";"779.3";"-0.1";"88";"Calm, no wind";"0";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"";"-11.2";"";"";"";"";"";"";
"19.12.2018 00:00";"-10.1";"763.7";"779.5";"0.4";"85";"Wind blowing from the east";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"";"-12.2";"";"";"";"";"";"";
"18.12.2018 21:00";"-10.6";"763.3";"779.2";"0.0";"84";"Wind blowing from the east-southeast";"1";"";"";"90  or more, but not 100%";"Intermittent fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-10.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"-12.8";"0.2";"12";"";"";"";"";
"18.12.2018 18:00";"-11.0";"763.3";"779.2";"0.3";"83";"Wind blowing from the south-southeast";"1";"";"";"90  or more, but not 100%";"Intermittent fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"-13.4";"0.4";"12";"";"";"";"";
"18.12.2018 15:00";"-11.7";"763.0";"778.9";"0.1";"80";"Wind blowing from the south";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"4.0";"-14.5";"";"";"";"";"";"";
"18.12.2018 12:00";"-11.3";"762.9";"778.7";"0.0";"79";"Wind blowing from the south-southeast";"1";"";"";"70 – 80%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-14.3";"";"";"";"";"";"";
"18.12.2018 09:00";"-13.3";"762.9";"778.9";"0.1";"87";"Calm, no wind";"0";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-13.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"-15.0";"0.5";"12";"";"";"Even layer of loose dry snow covering ground completely.";"16.0";
"18.12.2018 06:00";"-13.6";"762.8";"778.8";"0.0";"86";"Wind blowing from the east-southeast";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-13.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"";"-15.5";"0.3";"12";"";"";"";"";
"18.12.2018 03:00";"-12.9";"762.8";"778.8";"0.0";"87";"Wind blowing from the south-east";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"";"-14.7";"";"";"";"";"";"";
"18.12.2018 00:00";"-11.7";"762.8";"778.7";"-0.4";"89";"Wind blowing from the east-southeast";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-13.1";"";"";"";"";"";"";
"17.12.2018 21:00";"-11.8";"763.2";"779.1";"-0.1";"91";"Wind blowing from the east-southeast";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-11.0";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"";"-13.0";"No precipitation";"12";"";"";"";"";
"17.12.2018 18:00";"-11.9";"763.3";"779.2";"0.6";"89";"Wind blowing from the east-southeast";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"";"-13.4";"No precipitation";"12";"";"";"";"";
"17.12.2018 15:00";"-11.0";"762.7";"778.6";"-0.7";"85";"Wind blowing from the east-southeast";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-13.1";"";"";"";"";"";"";
"17.12.2018 12:00";"-13.0";"763.4";"779.4";"-0.2";"84";"Wind blowing from the east-southeast";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"10.0";"-15.2";"";"";"";"";"";"";
"17.12.2018 09:00";"-15.4";"763.6";"779.7";"0.0";"88";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"-15.9";"";"";"";"";"";"";"";"-16.9";"No precipitation";"12";"";"";"Even layer of loose dry snow covering ground completely.";"16.0";
"17.12.2018 06:00";"-15.8";"763.6";"779.8";"-0.4";"88";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"-15.8";"";"";"";"";"";"";"";"-17.3";"No precipitation";"12";"";"";"";"";
"17.12.2018 03:00";"-14.8";"764.0";"780.1";"-0.3";"91";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"";"-16.0";"";"";"";"";"";"";
"17.12.2018 00:00";"-14.7";"764.3";"780.4";"-0.1";"91";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"";"-15.8";"";"";"";"";"";"";
"16.12.2018 21:00";"-14.0";"764.4";"780.4";"-0.1";"92";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"-9.6";"";"";"";"";"";"";"-15.0";"No precipitation";"12";"";"";"";"";
"16.12.2018 18:00";"-12.3";"764.5";"780.4";"0.1";"93";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"";"-13.2";"No precipitation";"12";"";"";"";"";
"16.12.2018 15:00";"-10.0";"764.4";"780.2";"-0.1";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-12.1";"";"";"";"";"";"";
"16.12.2018 12:00";"-10.9";"764.5";"780.4";"0.2";"87";"Wind blowing from the east-northeast";"1";"";"";"no clouds";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"";"";"";"";"";"4.0";"-12.6";"";"";"";"";"";"";
"16.12.2018 09:00";"-13.5";"764.3";"780.4";"0.1";"92";"Wind blowing from the east-southeast";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-13.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"4.0";"-14.6";"No precipitation";"12";"";"";"Even layer of loose dry snow covering ground completely.";"16.0";
"16.12.2018 06:00";"-12.2";"764.2";"780.2";"0.3";"92";"Wind blowing from the north-northeast";"1";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-12.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"-13.2";"No precipitation";"12";"";"";"";"";
"16.12.2018 03:00";"-11.1";"763.9";"779.8";"0.9";"92";"Wind blowing from the north";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-12.2";"";"";"";"";"";"";
"16.12.2018 00:00";"-9.9";"763.0";"778.8";"0.7";"92";"Wind blowing from the north-northeast";"2";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-11.0";"";"";"";"";"";"";
"15.12.2018 21:00";"-8.2";"762.3";"777.9";"0.5";"93";"Wind blowing from the north-northeast";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-3.5";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-9.2";"No precipitation";"12";"";"";"";"";
"15.12.2018 18:00";"-6.2";"761.8";"777.3";"1.1";"93";"Wind blowing from the north";"2";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-7.2";"No precipitation";"12";"";"";"";"";
"15.12.2018 15:00";"-4.9";"760.7";"776.2";"0.7";"94";"Wind blowing from the north-northwest";"2";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"4.0";"-5.8";"";"";"";"";"";"";
"15.12.2018 12:00";"-3.8";"760.0";"775.3";"1.0";"89";"Wind blowing from the north-northeast";"3";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"4.0";"-5.3";"";"";"";"";"";"";
"15.12.2018 09:00";"-3.5";"759.0";"774.3";"0.4";"92";"Wind blowing from the north-northeast";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.5";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"4.0";"-4.7";"No precipitation";"12";"";"";"Even layer of loose dry snow covering ground completely.";"17.0";
"15.12.2018 06:00";"-3.2";"758.6";"773.8";"0.3";"89";"Wind blowing from the north";"2";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-4.8";"Trace of precipitation";"12";"";"";"";"";
"15.12.2018 03:00";"-2.9";"758.3";"773.5";"0.6";"92";"Wind blowing from the north";"2";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"";"";"";"-4.1";"";"";"";"";"";"";
"15.12.2018 00:00";"-2.5";"757.7";"772.9";"0.4";"92";"Wind blowing from the north";"2";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"";"";"";"-3.6";"";"";"";"";"";"";
"14.12.2018 21:00";"-2.1";"757.3";"772.6";"0.3";"91";"Wind blowing from the north-northeast";"2";"";"";"100%.";"Mist. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-1.5";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-3.4";"Trace of precipitation";"12";"";"";"";"";
"14.12.2018 18:00";"-1.8";"757.0";"772.1";"0.5";"92";"Wind blowing from the north-east";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"";"-3.0";"Trace of precipitation";"12";"";"";"";"";
"14.12.2018 15:00";"-1.7";"756.5";"771.7";"0.3";"90";"Wind blowing from the north-northeast";"1";"";"";"100%.";"Mist. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"4.0";"-3.2";"";"";"";"";"";"";
"14.12.2018 12:00";"-1.9";"756.2";"771.4";"0.3";"92";"Wind blowing from the north-east";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"";"";"4.0";"-3.1";"";"";"";"";"";"";
"14.12.2018 09:00";"-2.0";"755.9";"771.1";"0.4";"90";"Wind blowing from the east-northeast";"1";"";"";"100%.";"Mist. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"";"";"4.0";"-3.4";"0.3";"12";"";"";"Even layer of loose dry snow covering ground completely.";"18.0";
"14.12.2018 06:00";"-2.1";"755.5";"770.7";"0.1";"90";"Wind blowing from the north-east";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"";"-3.5";"0.6";"12";"";"";"";"";
"14.12.2018 03:00";"-2.2";"755.4";"770.5";"0.5";"90";"Wind blowing from the east-northeast";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-3.7";"";"";"";"";"";"";
"14.12.2018 00:00";"-2.0";"754.9";"770.1";"0.9";"88";"Wind blowing from the east-northeast";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-3.8";"";"";"";"";"";"";
"13.12.2018 21:00";"-1.8";"754.0";"769.1";"0.8";"90";"Wind blowing from the east-northeast";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-0.3";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-3.2";"3.0";"12";"";"";"";"";
"13.12.2018 18:00";"-1.1";"753.2";"768.3";"1.1";"88";"Wind blowing from the east-northeast";"1";"";"";"100%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"";"-2.9";"4.0";"12";"";"";"";"";
"13.12.2018 15:00";"-0.8";"752.1";"767.1";"0.6";"93";"Wind blowing from the east-northeast";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"-1.8";"";"";"";"";"";"";
"13.12.2018 12:00";"-0.3";"751.5";"766.5";"0.9";"92";"Wind blowing from the north-east";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"-1.5";"";"";"";"";"";"";
"13.12.2018 09:00";"-0.5";"750.6";"765.5";"0.8";"96";"Wind blowing from the east-northeast";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-0.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"-1.1";"3.0";"12";"";"";"Even layer of loose dry snow covering ground completely.";"15.0";
"13.12.2018 06:00";"-0.2";"749.8";"764.7";"-0.1";"94";"Wind blowing from the north-east";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-0.3";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"";"-1.1";"1.0";"12";"";"";"";"";
"13.12.2018 03:00";"-0.3";"749.9";"764.8";"0.2";"96";"Wind blowing from the north-northeast";"3";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"";"-0.8";"";"";"";"";"";"";
"13.12.2018 00:00";"0.0";"749.7";"764.6";"0.0";"88";"Wind blowing from the north-northeast";"3";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-1.7";"";"";"";"";"";"";
"12.12.2018 21:00";"0.1";"749.7";"764.6";"-0.1";"87";"Wind blowing from the north-northeast";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain and snow or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"1.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-1.8";"0.1";"12";"";"";"";"";
"12.12.2018 18:00";"0.6";"749.8";"764.8";"0.3";"82";"Wind blowing from the east-northeast";"2";"";"";"100%.";"Snow not falling as shower(s). ";"Rain and snow or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-2.1";"0.1";"12";"";"";"";"";
"12.12.2018 15:00";"0.9";"749.5";"764.3";"-0.2";"91";"Wind blowing from the north";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"4.0";"-0.4";"";"";"";"";"";"";
"12.12.2018 12:00";"1.1";"749.7";"764.5";"0.4";"93";"Wind blowing from the north";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"4.0";"0.1";"";"";"";"";"";"";
"12.12.2018 09:00";"0.3";"749.3";"764.2";"0.6";"99";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"0.3";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"2.0";"0.2";"No precipitation";"12";"";"";"Even layer of compact or wet snow covering ground completely.";"14.0";
"12.12.2018 06:00";"0.5";"748.7";"763.6";"0.1";"97";"Wind blowing from the north";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"0.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"0.1";"No precipitation";"12";"";"";"";"";
"12.12.2018 03:00";"0.5";"748.6";"763.4";"0.7";"96";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-0.1";"";"";"";"";"";"";
"12.12.2018 00:00";"0.9";"747.9";"762.7";"1.4";"95";"Wind blowing from the west-southwest";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"0.2";"";"";"";"";"";"";
