# Weather station Moscow, Russia, WMO_ID=27612,selection from 05.01.2018 till 05.01.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=27612&lang=en
#
"Local time in Moscow";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"04.01.2019 00:00";"-3.4";"745.9";"760.9";"-0.5";"96";"Wind blowing from the east";"1";"";"";"100%.";"Continuous fall of snowflakes, moderate at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"100%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"";"-4.0";"";"";"";"";"";"";
"03.01.2019 21:00";"-3.1";"746.4";"761.4";"0.0";"94";"Wind blowing from the south-southwest";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-1.4";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"";"-4.0";"3.0";"12";"";"";"";"";
"03.01.2019 18:00";"-2.8";"746.4";"761.4";"0.4";"94";"Wind blowing from the east-southeast";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"100-200";"Altostratus opacus or Nimbostratus.";"";"";"-3.7";"1.0";"12";"";"";"";"";
"03.01.2019 15:00";"-2.1";"746.0";"761.0";"0.4";"90";"Wind blowing from the south-east";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"4.0";"-3.5";"";"";"";"";"";"";
"03.01.2019 12:00";"-1.6";"745.6";"760.6";"0.9";"86";"Wind blowing from the south-southeast";"2";"";"";"100%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"-3.7";"";"";"";"";"";"";
"03.01.2019 09:00";"-2.6";"744.7";"759.7";"1.2";"93";"Wind blowing from the south-southeast";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.0";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"-3.6";"2.0";"12";"";"";"Even layer of loose dry snow covering ground completely.";"28.0";
"03.01.2019 06:00";"-2.3";"743.5";"758.5";"0.6";"90";"Wind blowing from the south";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.0";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-3.7";"2.0";"12";"";"";"";"";
"03.01.2019 03:00";"-2.2";"742.9";"757.8";"0.7";"90";"Wind blowing from the south-southeast";"2";"";"";"100%.";"Mist. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-3.6";"";"";"";"";"";"";
"03.01.2019 00:00";"-2.8";"742.2";"757.1";"0.5";"92";"Wind blowing from the south-southeast";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"";"-3.9";"";"";"";"";"";"";
"02.01.2019 21:00";"-2.8";"741.7";"756.6";"0.8";"92";"Wind blowing from the south";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-2.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"";"-4.0";"4.0";"12";"";"";"";"";
